data_sprzedazy,region,sprzedawca,produkt,ilosc,cena_jednostkowa,wartosc
15/03/2025,Pomorskie,Wojcik,Woda gazowana 1.5L,33,2.49,82.17
26/03/2025,Malopolska,Nowak,Baton czekoladowy 50g,106,2.99,360.67
09/03/2025,Dolnoslaskie,Wojcik,Sok pomaranczowy 1 L,43,5.49,236.07
28/03/2025,pomorskie,,Piwo jasne 0.5L,105,"4,29",450.45
25/03/2025,Dolnoslaskie,Wojcik,Baton czekoladowy 50g,21,,62.79
26/03/2025,Pomorskie,Kowalski,Baton czekoladowy 50g,14,2.99,41.86
08/03/2025,Malopolska,Lewandowska,Sok pomaranczowy 1L,112,5.49,614.88
10/03/2025,Malopolska,Wojcik,Baton czekoladowy 50g,109,2.99,325.91
13/03/2025,Malopolska,Wisniewski,piwo jasne 0.5l,41,4.29,175.89
16/03/2025,Pomorze,Nowak,Baton czekoladowy 50g,73,2.99,218.27
19/03/2025,Pomorskie,Kowalski,Piwo jasne 0.5L,79,4.29,338.91
27/03/2025,Mazowieckie,Lewandowska,Piwo jasne 0.5L,31,"4,29",179.53
25/03/2025,Mazowieckie,Wisniewski,Baton czekoladowy 50g,110,2.99,328.9
15/03/2025,Mazowieckie,Wojcik,Woda gazowana 1.5L,30,2.49,74.7
04/03/2025,Malopolska,Kowalski,Piwo jasne 0.5L,110,4.29,565.12
24/03/2025,Malopolska,Wojcik,Chipsy papryk. 150g,27,"6,99",188.73
09/03/2025,Dolnoslaskie,Kowalski,Woda gazowana 1.5L,-76,2.49,189.24
05/03/2025,Dolnoslaskie,Lewandowska,Baton czekoladowy 50g,34,2.99,101.66
12/03/2025,Wielkopolska,Kowalski,Sok pomaranczowy 1L,49,5.49,269.01
04/03/2025,Malopolska,Lewandowska,Baton czekoladowy 50g,105,2.99,313.95
28/03/2025,Pomorskie,Lewandowska,Sok pomaranczowy 1L,12,5.49,88.87
26/03/2025,Malopolska,Wojcik,Chipsy paprykowe 150g,-52,6.99,363.48
22/03/2025,Pomorskie,Wisniewski,Piwo jasne 0.5L,114,4.29,489.06
17/03/2025,Wielkopolska,Wisniewski,Woda gazowana 1.5L,51,2.49,126.99
21/03/2025,Malopolska,Lewandowska,Woda gazowana 1.5L,-54,,134.46
09/03/2025,Dolnoslaskie,Nowak,Chipsy paprykowe 150g,45,6.99,314.55
05/03/2025,Wielkopolskie ,Kowalski,Piwo jasne 0.5L,20,4.29,110.64
14/03/2025,Mazowieckie,Lewandowska,Chipsy paprykowe 150g,16,6.99,111.84
03/03/2025,Pomorskie,Wisniewski,Piwo jasne 0.5L,35,4.29,150.15
16/03/2025,Malopolska,Nowak,Sok pomaranczowy 1L,66,,362.34
05/03/2025,Malopolska,Nowak,Woda gazowana 1.5L,29,,89.34
23/03/2025,malopolskie,Kowalski,Chipsy paprykowe 150g,89,6.99,622.11
17/03/2025,wielkopolskie,Lewandowska,Woda gazowana 1.5L,79,2.49,196.71
23/03/2025,Wielkopolska,Nowak,Sok pomaranczowy 1L,46,5.49,252.54
16/03/2025,MALOPOLSKA,Kowalski,Piwo jasne 0.5L,49,4.29,210.21
26/03/2025,Wielkopolska,Lewandowska,Baton czekoladowy 50g,35,2.99,104.65
17/03/2025,Pomorskie,Nowak,Sok pomaranczowy 1L,51,5.49,279.99
04/03/2025,Malopolska,Lewandowska,Chipsy paprykowe 150g,96,6.99,671.04
04/03/2025,Pomorskie,Lewandowska,Sok pomaranczowy 1L,112,5.49,614.88
12/03/2025,Pomorskie,Wisniewski,Sok pomaranczowy 1L,78,5.49,428.22
20/03/2025,Malopolska,Wisniewski,Piwo jasne 0.5L,-112,4.29,480.48
09/03/2025,Dolnoslaskie,Wisniewski,Piwo jasne 0.5L,17,"4,29",72.93
02/03/2025,Pomorskie,Wojcik,Baton czekoladowy 50g,22,2.99,65.78
03/03/2025,Mazowieckie,Wisniewski,Chipsy paprykowe 150g,85,6.99,594.15
21/03/2025,Dolnoslaskie,Wojcik,piwo jasne 0.5l,76,4.29,326.04
08/03/2025,Dolny Slask,Wisniewski,Piwo jasne 0.5L,20,4.29,85.8
17/03/2025,Pomorskie,Nowak,Sok pomaranczowy 1L,51,5.49,279.99
28/03/2025,Dolnoslaskie,Lewandowska,Baton czekoladowy 50g,-93,2.99,278.07
01/03/2025,Dolnoslaskie,Lewandowska,Baton czekoladowy 50g,111,2.99,331.89
24/03/2025,Malopolska,,Woda gazowana 1.5L,63,2.49,156.87
26/03/2025,wielkopolskie,Wisniewski,sok pomaranczowy 1l,-95,5.49,521.55
13/03/2025,Dolnoslaskie,Nowak,Woda gazowana 1.5L,19,2.49,47.31
24/03/2025,Malopolska,Wojcik,Baton czekoladowy 50g,74,2.99,221.26
04/03/2025,Mazowieckie,Wojcik,Baton czekoladowy 50g,107,2.99,319.93
07/03/2025,Mazowieckie,Nowak,Chipsy paprykowe 150g,84,6.99,587.16
20/03/2025,Malopolska,Wojcik,Sok pomaranczowy 1L,53,5.49,290.97
20/03/2025,Wielkopolska,Lewandowska,Piwo jasne 0.5L,47,4.29,201.63
09/03/2025,Dolnoslaskie,Kowalski,Woda gazowana 1.5L,72,2.49,179.28
17/03/2025,Pomorskie,  Wisniewski ,Baton czekoladowy 50g,61,"2,99",182.39
15/03/2025,Dolnoslaskie,Lewandowska,Chipsy paprykowe 150g,105,6.99,733.95
23/03/2025,Pomorskie,Lewandowska,Woda gazowana 1.5L,106,2.49,263.94
23/03/2025,Mazowieckie,Wojcik,Woda gazowana 1.5L,104,"2,49",258.96
03/03/2025,Pomorskie,Nowak,sok pomaranczowy 1l,25,5.49,183.18
